        0.03569571        0.00000000
        0.07139141        0.00000000
        0.10708712        0.00000000
        0.14278283        0.00000000
        0.17847854        0.00000000
        0.21417424        0.00000000
        0.24986995        0.00000000
        0.28556566        0.00000000
        0.32126137        0.00000000
        0.35695707        0.00000000
        0.39265278        0.00000000
        0.42834849        0.00000000
        0.46404420        0.00000000
        0.49973990        0.00000000
        0.53543561        0.00000000
        0.57113132        0.00000000
        0.60682702        0.00000000
        0.64252273        0.00000000
        0.67821844        0.00000001
        0.71391415        0.00000002
        0.74960985        0.00000005
        0.78530556        0.00000010
        0.82100127        0.00000021
        0.85669698        0.00000043
        0.89239268        0.00000082
        0.92808839        0.00000152
        0.96378410        0.00000274
        0.99947981        0.00000476
        1.03517551        0.00000802
        1.07087122        0.00001306
        1.10656693        0.00002058
        1.14226263        0.00003139
        1.17795834        0.00004632
        1.21365405        0.00006615
        1.24934976        0.00009143
        1.28504546        0.00012231
        1.32074117        0.00015837
        1.35643688        0.00019849
        1.39213259        0.00024080
        1.42782829        0.00028278
        1.46352400        0.00032147
        1.49921971        0.00035378
        1.53491542        0.00037693
        1.57061112        0.00038878
        1.60630683        0.00038824
        1.64200254        0.00037535
        1.67769824        0.00035135
        1.71339395        0.00031843
        1.74908966        0.00027942
        1.78478537        0.00023741
        1.82048107        0.00019531
        1.85617678        0.00015558
        1.89187249        0.00012000
        1.92756820        0.00008962
        1.96326390        0.00006481
        1.99895961        0.00004539
        2.03465532        0.00003078
        2.07035103        0.00002021
        2.10604673        0.00001285
        2.14174244        0.00000791
        2.17743815        0.00000472
        2.21313385        0.00000272
        2.24882956        0.00000152
        2.28452527        0.00000083
        2.32022098        0.00000043
        2.35591668        0.00000022
        2.39161239        0.00000011
        2.42730810        0.00000005
        2.46300381        0.00000002
        2.49869951        0.00000001
        2.53439522        0.00000000
        2.57009093        0.00000000
        2.60578664        0.00000000
        2.64148234        0.00000000
        2.67717805        0.00000000
        2.71287376        0.00000000
        2.74856946        0.00000000
        2.78426517        0.00000000
        2.81996088        0.00000000
        2.85565659        0.00000000
        2.89135229        0.00000000
        2.92704800        0.00000000
        2.96274371        0.00000000
        2.99843942        0.00000000
        3.03413512        0.00000000
        3.06983083        0.00000000
        3.10552654        0.00000000
        3.14122225        0.00000000
        3.17691795        0.00000000
        3.21261366        0.00000000
        3.24830937        0.00000000
        3.28400507        0.00000000
        3.31970078        0.00000000
        3.35539649        0.00000000
        3.39109220        0.00000000
        3.42678790        0.00000000
        3.46248361        0.00000000
        3.49817932        0.00000000
        3.53387503        0.00000000
        3.56957073        0.00000000
        3.60526644        0.00000000
        3.64096215        0.00000000
        3.67665785        0.00000000
        3.71235356        0.00000000
        3.74804927        0.00000000
        3.78374498        0.00000000
        3.81944068        0.00000000
        3.85513639        0.00000000
        3.89083210        0.00000000
        3.92652781        0.00000000
        3.96222351        0.00000000
        3.99791922        0.00000000
        4.03361493        0.00000000
        4.06931064        0.00000000
        4.10500634        0.00000000
        4.14070205        0.00000000
        4.17639776        0.00000000
        4.21209346        0.00000000
        4.24778917        0.00000000
        4.28348488        0.00000000
        4.31918059        0.00000000
        4.35487629        0.00000000
        4.39057200        0.00000000
        4.42626771        0.00000000
        4.46196342        0.00000000
        4.49765912        0.00000000
        4.53335483        0.00000000
        4.56905054        0.00000000
        4.60474625        0.00000000
        4.64044195        0.00000000
        4.67613766        0.00000000
        4.71183337        0.00000000
        4.74752907        0.00000000
        4.78322478        0.00000000
        4.81892049        0.00000000
        4.85461620        0.00000000
        4.89031190        0.00000000
        4.92600761        0.00000000
        4.96170332        0.00000000
        4.99739903        0.00000000
        5.03309473        0.00000000
        5.06879044        0.00000000
        5.10448615        0.00000000
        5.14018186        0.00000000
        5.17587756        0.00000000
        5.21157327        0.00000000
        5.24726898        0.00000000
        5.28296468        0.00000000
        5.31866039        0.00000000
        5.35435610        0.00000000
        5.39005181        0.00000000
        5.42574751        0.00000000
        5.46144322        0.00000000
        5.49713893        0.00000000
        5.53283464        0.00000000
        5.56853034        0.00000000
        5.60422605        0.00000000
        5.63992176        0.00000000
        5.67561747        0.00000000
        5.71131317        0.00000000
        5.74700888        0.00000000
        5.78270459        0.00000000
        5.81840029        0.00000000
        5.85409600        0.00000000
        5.88979171        0.00000000
        5.92548742        0.00000000
        5.96118312        0.00000000
        5.99687883        0.00000000
        6.03257454        0.00000000
        6.06827025        0.00000000
        6.10396595        0.00000000
        6.13966166        0.00000000
        6.17535737        0.00000000
        6.21105308        0.00000000
        6.24674878        0.00000000
        6.28244449        0.00000000
        6.31814020        0.00000000
        6.35383590        0.00000000
        6.38953161        0.00000000
        6.42522732        0.00000000
        6.46092303        0.00000000
        6.49661873        0.00000000
        6.53231444        0.00000000
        6.56801015        0.00000000
        6.60370586        0.00000000
        6.63940156        0.00000000
        6.67509727        0.00000000
        6.71079298        0.00000000
        6.74648869        0.00000000
        6.78218439        0.00000000
        6.81788010        0.00000000
        6.85357581        0.00000000
        6.88927151        0.00000000
        6.92496722        0.00000000
        6.96066293        0.00000000
        6.99635864        0.00000000
        7.03205434        0.00000000
        7.06775005        0.00000000
        7.10344576        0.00000000
        7.13914147        0.00000000
        7.17483717        0.00000000
        7.21053288        0.00000000
        7.24622859        0.00000000
        7.28192430        0.00000000
        7.31762000        0.00000001
        7.35331571        0.00000004
        7.38901142        0.00000012
        7.42470712        0.00000033
        7.46040283        0.00000087
        7.49609854        0.00000222
        7.53179425        0.00000550
        7.56748995        0.00001317
        7.60318566        0.00003056
        7.63888137        0.00006870
        7.67457708        0.00014960
